days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November,times liked
1226,263.0,3,55,966,20,0.0,1.2854812398042414,2,27,0.4137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,126
1230,488.0,4,22,968,25,0.0,1.613821138211382,0,30,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,119
1233,340.0,5,24,983,24,0.019464720194647202,1.754257907542579,0,28,0.8823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,115
1237,48.0,3,51,902,15,0.046079223928860144,9.27728375101051,0,27,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,685
1244,472.0,2,16,1001,13,0.0,1.6133440514469453,0,25,0.6868,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,108
1251,510.0,3,16,950,13,0.008792965627498001,0.7074340527577938,0,26,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,48
1258,433.0,0,33,939,22,0.007154213036565978,0.4300476947535771,1,25,0.9344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,63
1262,505.0,4,21,707,23,0.017432646592709985,1.5388272583201268,0,16,-0.5204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,100
1264,536.0,2,33,657,17,0.013449367088607595,0.9912974683544303,0,15,-0.5027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,108
1271,398.0,3,35,770,15,0.020456333595594022,1.7702596380802518,2,19,0.676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,122
1274,386.0,2,23,1273,21,0.019623233908948195,4.521978021978022,1,29,0.9599,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,239
1279,464.0,2,31,905,15,0.033620015637216574,3.867083659108679,0,25,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,307
1286,475.0,6,54,1099,17,0.016329704510108865,1.4292379471228616,1,28,0.9605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,156
1290,16.0,5,35,1055,19,0.018604651162790697,0.9589147286821705,2,28,0.9353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,73
1301,495.0,10,39,1013,19,0.03151421983089931,4.145272867025365,0,27,0.4871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,401
1307,470.0,5,28,937,20,0.019892884468247895,4.162968630451416,0,25,-0.3939,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,272
1321,15.0,4,26,780,22,0.012112036336109008,0.46328538985616957,0,17,0.9319,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53
1328,490.0,1,27,883,12,0.012048192771084338,1.4992469879518073,0,23,0.5327,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,153
1336,543.0,1,32,677,17,0.012724550898203593,0.593562874251497,0,18,0.4501,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,51
1342,542.0,5,22,741,20,0.010432190760059613,2.747391952309985,0,19,0.8767,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,192
1349,514.0,8,31,1176,17,0.033358042994810974,2.061527057079318,0,26,0.9479,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,161
1358,465.0,2,29,788,11,0.013991163475699559,2.0427098674521353,0,16,-0.5027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,167
1372,16.0,5,42,769,13,0.07798833819241982,9.981049562682216,0,20,-0.549,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,816
1385,577.0,3,27,754,17,0.01444043321299639,0.4714801444043321,0,19,-0.4515,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,53
1394,492.0,7,40,864,14,0.011477761836441894,0.9835007173601148,0,20,0.8085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,102
1404,346.0,2,29,872,9,0.021367521367521368,1.5242165242165242,0,16,0.884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,168
